questions|options*|answer
1. A ball is dropped from a height of 20 m. How long does it take to reach the ground? (Assume g = 9.8 m/s²)|A. 2.02 s|B. 1.43 s|C. 4.04 s|D. 0.98 s|A
49. What is the SI unit of volume?|A. Cubic meter|B. Liter|C. Milliliter|D. Cubic centimeter|A
50. What is the formula for voltage?|A. Current × Resistance|B. Power × Time|C. Force × Distance|D. Mass × Acceleration|A
51. Which instrument is used to measure resistance?|A. Ohmmeter|B. Voltmeter|C. Ammeter|D. Barometer|A
52. What is the SI unit of force?|A. Newton|B. Joule|C. Watt|D. Pascal|A
53. What is the formula for electric power?|A. Voltage × Current|B. Current × Resistance|C. Force × Distance|D. Mass × Acceleration|A
54. Which of the following is NOT a fundamental quantity?|A. Length|B. Mass|C. Time|D. Speed|D
55. What is the SI unit of charge?|A. Coulomb|B. Ampere|C. Volt|D. Ohm|A
56. What is the formula for pressure?|A. Force/Area|B. Mass/Volume|C. Distance/Time|D. Energy/Time|A
57. Which instrument is used to measure frequency?|A. Frequency meter|B. Ammeter|C. Voltmeter|D. Barometer|A
58. What is the SI unit of frequency?|A. Hertz|B. Joule|C. Watt|D. Newton|A
59. What is the formula for momentum?|A. mass × velocity|B. mass × acceleration|C. force × distance|D. energy × time|A
60. Which law states that energy cannot be created or destroyed?|A. Law of Conservation of Energy|B. Newton's First Law|C. Newton's Second Law|D. Newton's Third Law|A
61. What is the SI unit of pressure?|A. Pascal|B. Newton|C. Joule|D. Watt|A
62. What is the value of acceleration due to gravity on Earth?|A. 9.8 m/s²|B. 8.9 m/s²|C. 10.8 m/s²|D. 12.8 m/s²|A
63. What is the formula for work?|A. Force × Distance|B. Mass × Acceleration|C. Velocity × Time|D. Power × Time|A
64. Which instrument is used to measure atmospheric pressure?|A. Barometer|B. Thermometer|C. Ammeter|D. Voltmeter|A
65. What is the SI unit of electric current?|A. Ampere|B. Volt|C. Ohm|D. Coulomb|A
66. What is the formula for potential energy?|A. mgh|B. ½mv²|C. Fd|D. VIt|A
67. Which of the following is NOT a vector quantity?|A. Force|B. Velocity|C. Displacement|D. Energy|D
68. What is the unit of resistance?|A. Ohm|B. Volt|C. Ampere|D. Watt|A
69. What is the formula for speed?|A. Distance/Time|B. Force/Area|C. Mass/Volume|D. Energy/Time|A
70. Which instrument is used to measure voltage?|A. Voltmeter|B. Ammeter|C. Barometer|D. Thermometer|A
71. What is the SI unit of length?|A. Meter|B. Kilogram|C. Second|D. Ampere|A
72. What is the formula for density?|A. Mass/Volume|B. Force/Area|C. Distance/Time|D. Energy/Time|A
73. Which of the following is a derived quantity?|A. Speed|B. Mass|C. Length|D. Time|A
74. What is the SI unit of time?|A. Second|B. Minute|C. Hour|D. Day|A
75. What is the formula for acceleration?|A. Change in velocity/Time|B. Distance/Time|C. Force/Area|D. Mass/Volume|A
76. Which instrument is used to measure mass?|A. Balance|B. Barometer|C. Thermometer|D. Voltmeter|A
77. What is the SI unit of temperature?|A. Kelvin|B. Celsius|C. Fahrenheit|D. Joule|A
78. What is the formula for power?|A. Work/Time|B. Force × Distance|C. Mass × Acceleration|D. Velocity × Time|A
79. Which of the following is NOT a unit of energy?|A. Joule|B. Watt|C. Calorie|D. Electronvolt|B
80. What is the SI unit of volume?|A. Cubic meter|B. Liter|C. Milliliter|D. Cubic centimeter|A
81. What is the formula for voltage?|A. Current × Resistance|B. Power × Time|C. Force × Distance|D. Mass × Acceleration|A
82. Which instrument is used to measure resistance?|A. Ohmmeter|B. Voltmeter|C. Ammeter|D. Barometer|A
83. What is the SI unit of force?|A. Newton|B. Joule|C. Watt|D. Pascal|A
84. What is the formula for electric power?|A. Voltage × Current|B. Current × Resistance|C. Force × Distance|D. Mass × Acceleration|A
85. Which of the following is NOT a fundamental quantity?|A. Length|B. Mass|C. Time|D. Speed|D
86. What is the SI unit of charge?|A. Coulomb|B. Ampere|C. Volt|D. Ohm|A
87. What is the formula for pressure?|A. Force/Area|B. Mass/Volume|C. Distance/Time|D. Energy/Time|A
88. Which instrument is used to measure frequency?|A. Frequency meter|B. Ammeter|C. Voltmeter|D. Barometer|A
89. What is the SI unit of frequency?|A. Hertz|B. Joule|C. Watt|D. Newton|A
90. What is the formula for momentum?|A. mass × velocity|B. mass × acceleration|C. force × distance|D. energy × time|A
91. Which law states that energy cannot be created or destroyed?|A. Law of Conservation of Energy|B. Newton's First Law|C. Newton's Second Law|D. Newton's Third Law|A
92. What is the SI unit of pressure?|A. Pascal|B. Newton|C. Joule|D. Watt|A
93. What is the value of acceleration due to gravity on Earth?|A. 9.8 m/s²|B. 8.9 m/s²|C. 10.8 m/s²|D. 12.8 m/s²|A
94. What is the formula for work?|A. Force × Distance|B. Mass × Acceleration|C. Velocity × Time|D. Power × Time|A
95. Which instrument is used to measure atmospheric pressure?|A. Barometer|B. Thermometer|C. Ammeter|D. Voltmeter|A
96. What is the SI unit of electric current?|A. Ampere|B. Volt|C. Ohm|D. Coulomb|A
97. What is the formula for potential energy?|A. mgh|B. ½mv²|C. Fd|D. VIt|A
98. Which of the following is NOT a vector quantity?|A. Force|B. Velocity|C. Displacement|D. Energy|D
99. What is the unit of resistance?|A. Ohm|B. Volt|C. Ampere|D. Watt|A
100. What is the formula for speed?|A. Distance/Time|B. Force/Area|C. Mass/Volume|D. Energy/Time|A
