1. What is the unit of force in the SI system?|A. Newton|B. Joule|C. Watt|D. Pascal|A
60. What is the process of granting citizenship called?|A. Naturalization|B. Election|C. Nomination|D. Appointment|A
61. What is the name of the Nigerian prison agency?|A. Nigeria Correctional Service|B. EFCC|C. INEC|D. NNPC|A
62. What is the process of releasing prisoners called?|A. Parole|B. Election|C. Nomination|D. Appointment|A
63. What is the name of the Nigerian fire service?|A. Federal Fire Service|B. EFCC|C. INEC|D. NNPC|A
64. What is the process of responding to emergencies called?|A. Emergency response|B. Election|C. Nomination|D. Appointment|A
65. What is the name of the Nigerian road safety agency?|A. FRSC|B. EFCC|C. INEC|D. NNPC|A
66. What is the process of regulating road traffic called?|A. Traffic management|B. Election|C. Nomination|D. Appointment|A
67. What is the name of the Nigerian environmental agency?|A. NESREA|B. EFCC|C. INEC|D. NNPC|A
68. What is the process of protecting the environment called?|A. Environmental protection|B. Election|C. Nomination|D. Appointment|A
69. What is the name of the Nigerian health agency?|A. NCDC|B. EFCC|C. INEC|D. NNPC|A
70. What is the process of promoting public health called?|A. Public health promotion|B. Election|C. Nomination|D. Appointment|A
71. What is the name of the Nigerian education agency?|A. UBEC|B. EFCC|C. INEC|D. NNPC|A
72. What is the process of providing education called?|A. Education|B. Election|C. Nomination|D. Appointment|A
73. What is the name of the Nigerian agricultural agency?|A. FMARD|B. EFCC|C. INEC|D. NNPC|A
74. What is the process of promoting agriculture called?|A. Agricultural development|B. Election|C. Nomination|D. Appointment|A
75. What is the name of the Nigerian transport agency?|A. NRC|B. EFCC|C. INEC|D. NNPC|A
76. What is the process of regulating transportation called?|A. Transport regulation|B. Election|C. Nomination|D. Appointment|A
77. What is the name of the Nigerian housing agency?|A. FHA|B. EFCC|C. INEC|D. NNPC|A
78. What is the process of providing housing called?|A. Housing provision|B. Election|C. Nomination|D. Appointment|A
79. What is the name of the Nigerian water agency?|A. FMWR|B. EFCC|C. INEC|D. NNPC|A
80. What is the process of providing water called?|A. Water supply|B. Election|C. Nomination|D. Appointment|A
81. What is the name of the Nigerian power agency?|A. NERC|B. EFCC|C. INEC|D. NNPC|A
82. What is the process of generating electricity called?|A. Power generation|B. Election|C. Nomination|D. Appointment|A
83. What is the name of the Nigerian petroleum agency?|A. NNPC|B. EFCC|C. INEC|D. CBN|A
84. What is the process of exploring oil called?|A. Oil exploration|B. Election|C. Nomination|D. Appointment|A
85. What is the name of the Nigerian communication agency?|A. NCC|B. EFCC|C. INEC|D. NNPC|A
86. What is the process of regulating communication called?|A. Communication regulation|B. Election|C. Nomination|D. Appointment|A
87. What is the name of the Nigerian tourism agency?|A. NTDC|B. EFCC|C. INEC|D. NNPC|A
88. What is the process of promoting tourism called?|A. Tourism promotion|B. Election|C. Nomination|D. Appointment|A
89. What is the name of the Nigerian sports agency?|A. NSC|B. EFCC|C. INEC|D. NNPC|A
90. What is the process of promoting sports called?|A. Sports development|B. Election|C. Nomination|D. Appointment|A
91. What is the name of the Nigerian youth agency?|A. NYSC|B. EFCC|C. INEC|D. NNPC|A
92. What is the process of empowering youth called?|A. Youth empowerment|B. Election|C. Nomination|D. Appointment|A
93. What is the name of the Nigerian women’s agency?|A. NCWD|B. EFCC|C. INEC|D. NNPC|A
94. What is the process of promoting women’s rights called?|A. Women empowerment|B. Election|C. Nomination|D. Appointment|A
95. What is the name of the Nigerian science agency?|A. NASRDA|B. EFCC|C. INEC|D. NNPC|A
96. What is the process of promoting science called?|A. Science promotion|B. Election|C. Nomination|D. Appointment|A
97. What is the name of the Nigerian technology agency?|A. NITDA|B. EFCC|C. INEC|D. NNPC|A
98. What is the process of promoting technology called?|A. Technology development|B. Election|C. Nomination|D. Appointment|A
99. What is the name of the Nigerian arts agency?|A. NCAC|B. EFCC|C. INEC|D. NNPC|A
100. What is the process of promoting arts called?|A. Arts promotion|B. Election|C. Nomination|D. Appointment|A
